language,question,document_title,document,document_answer_region
english,"['Who', 'was', 'the', 'last', 'leader', 'of', 'the', 'Mali', 'Empire', '?']","['Mali', 'Empire']","['Ibn', 'Khaldun', 'died', 'in', '1406', ',', 'and', 'following', 'his', 'death', 'there', 'was', 'no', 'continuous', 'record', 'of', 'events', 'in', 'the', 'Mali', 'Empire', '.', 'It', 'is', 'known', 'from', 'the', 'Tarikh', 'al', '-', 'Sudan', 'that', 'Mali', 'was', 'still', 'a', 'sizeable', 'state', 'in', 'the', '15th', 'century', '.', 'The', 'Venetian', 'explorer', 'Alvise', 'Cadamosto', 'and', 'Portuguese', 'traders', 'confirmed', 'that', 'the', 'peoples', 'of', 'the', 'Gambia', 'were', 'still', 'subject', 'to', 'the', 'mansa', 'of', 'Mali', '.[8', ']', 'Upon', 'Leo', 'Africanus', ""'s"", 'visit', 'at', 'the', 'beginning', 'of', 'the', '16th', 'century', ',', 'his', 'descriptions', 'of', 'the', 'territorial', 'domains', 'of', 'Mali', 'showed', 'that', 'it', 'was', 'still', 'a', 'kingdom', 'of', 'considerable', 'area', '.', 'However', ',', 'from', '1507', 'onwards', 'neighbouring', 'states', 'such', 'as', 'Diara', ',', 'Great', 'Fulo', 'and', 'the', 'Songhay', 'Empire', 'eroded', 'the', 'extreme', 'territories', 'of', 'Mali', '.', 'In', '1542', ',', 'the', 'Songhay', 'invaded', 'the', 'capital', 'city', 'of', 'Niani', 'but', 'were', 'unsuccessful', 'in', 'conquering', 'the', 'empire', '.', 'During', 'the', '17th', 'century', ',', 'the', 'Mali', 'empire', 'faced', 'incursions', 'from', 'the', 'Bamana', 'Empire', '.', 'After', 'unsuccessful', 'attempts', 'by', 'Mansa', 'Mama', 'Maghan', 'to', 'conquer', 'Bamana', ',', 'in', '1670', 'Bamana', 'sacked', 'and', 'burned', 'Niani', ',', 'and', 'the', 'Mali', 'Empire', 'rapidly', 'disintegrated', 'and', 'ceased', 'to', 'exist', ',', 'being', 'replaced', 'by', 'independent', 'chiefdoms', '.', 'The', 'Keitas', 'retreated', 'to', 'the', 'town', 'of', 'Kangaba', ',', 'where', 'they', 'became', 'provincial', 'chiefs', '.[9', ']']",-3
english,"['What', 'are', 'the', 'official', 'languages', 'of', 'Switzerland', '?']","['Languages', 'of', 'Switzerland']","['The', 'four', 'national', 'languages', 'of', 'Switzerland', 'are', 'German', ',', 'French', ',', 'Italian', 'and', 'Romansh', '.[3', ']', 'All', 'but', 'Romansh', 'maintain', 'equal', 'status', 'as', 'official', 'languages', 'at', 'the', 'national', 'level', 'within', 'the', 'Federal', 'Administration', 'of', 'the', 'Swiss', 'Confederation', '.[4', ']', ' ', 'In', 'some', 'situations', ',', 'Latin', 'is', 'used', ',', 'particularly', 'as', 'a', 'single', 'language', 'to', 'denote', 'the', 'country', '.']",-3
english,"['How', 'long', 'does', 'a', 'cold', 'usually', 'last', '?']","['Common', 'cold']","['The', 'common', 'cold', ',', 'also', 'known', 'simply', 'as', 'a', 'cold', ',', 'is', 'a', 'viral', 'infectious', 'disease', 'of', 'the', 'upper', 'respiratory', 'tract', 'that', 'primarily', 'affects', 'the', 'nose', '.[7', ']', 'The', 'throat', ',', 'sinuses', ',', 'and', 'larynx', 'may', 'also', 'be', 'affected', '.[5', ']', 'Signs', 'and', 'symptoms', 'may', 'appear', 'less', 'than', 'two', 'days', 'after', 'exposure', 'to', 'the', 'virus', '.[5', ']', 'These', 'may', 'include', 'coughing', ',', 'sore', 'throat', ',', 'runny', 'nose', ',', 'sneezing', ',', 'headache', ',', 'and', 'fever', '.[2][3', ']', 'People', 'usually', 'recover', 'in', 'seven', 'to', 'ten', 'days', ',[2', ']', 'but', 'some', 'symptoms', 'may', 'last', 'up', 'to', 'three', 'weeks', '.[6', ']', 'Occasionally', 'those', 'with', 'other', 'health', 'problems', 'may', 'develop', 'pneumonia', '.[2', ']']",-3
english,"['Who', 'was', 'Queen', 'Elizabeth', 'II', ""'s"", 'father', '?']","['Elizabeth', 'II']","['Elizabeth', 'was', 'born', 'in', 'London', 'as', 'the', 'first', 'child', 'of', 'the', 'Duke', 'and', 'Duchess', 'of', 'York', ',', 'later', 'King', 'George', 'VI', 'and', 'Queen', 'Elizabeth', ',', 'and', 'she', 'was', 'educated', 'privately', 'at', 'home', '.', 'Her', 'father', 'acceded', 'to', 'the', 'throne', 'on', 'the', 'abdication', 'of', 'his', 'brother', 'King', 'Edward', 'VIII', 'in', '1936', ',', 'from', 'which', 'time', 'she', 'was', 'the', 'heir', 'presumptive', '.', 'She', 'began', 'to', 'undertake', 'public', 'duties', 'during', 'the', 'Second', 'World', 'War', ',', 'serving', 'in', 'the', 'Auxiliary', 'Territorial', 'Service', '.', 'In', '1947', ',', 'she', 'married', 'Prince', 'Philip', ',', 'Duke', 'of', 'Edinburgh', ',', 'a', 'former', 'prince', 'of', 'Greece', 'and', 'Denmark', ',', 'with', 'whom', 'she', 'has', 'four', 'children', ':', 'Charles', ',', 'Prince', 'of', 'Wales', ';', 'Anne', ',', 'Princess', 'Royal', ';', 'Prince', 'Andrew', ',', 'Duke', 'of', 'York', ';', 'and', 'Prince', 'Edward', ',', 'Earl', 'of', 'Wessex', '.']",-3
english,"['When', 'was', 'the', 'Isle', 'of', 'Wight', 'Railway', 'first', 'constructed', '?']","['Isle', 'of', 'Wight', 'Railway']","['The', 'Isle', 'of', 'Wight', 'Railway', 'was', 'a', 'railway', 'company', 'on', 'the', 'Isle', 'of', 'Wight', ',', 'United', 'Kingdom', ';', 'it', 'operated', '14', 'miles', 'of', 'railway', 'line', 'between', 'Ryde', 'and', 'Ventnor', '.', 'It', 'opened', 'the', 'first', 'section', 'of', 'line', 'from', 'Ryde', 'to', 'Sandown', 'in', '1864', ',', 'later', 'extending', 'to', 'Ventnor', 'in', '1866', '.', 'The', 'Ryde', 'station', 'was', 'at', 'St', 'Johns', 'Road', ',', 'some', 'distance', 'from', 'the', 'pier', 'where', 'the', 'majority', 'of', 'travellers', 'arrived', '.', 'A', 'tramway', 'operated', 'on', 'the', 'pier', 'itself', ',', 'and', 'a', 'street', '-', 'running', 'tramway', 'later', 'operated', 'from', 'the', 'Pier', 'to', 'St', 'Johns', 'Road', '.', 'It', 'was', 'not', 'until', '1880', 'that', 'two', 'mainland', 'railways', 'companies', 'jointly', 'extended', 'the', 'railway', 'line', 'to', 'the', 'Pier', 'Head', ',', 'and', 'IoWR', 'trains', 'ran', 'through', ',', 'improving', 'the', 'journey', 'arrangements', '.']",-3
english,"['What', 'is', 'the', 'lowest', 'brass', 'instrument', '?']","['Pitch', 'of', 'brass', 'instruments']","['PitchLengthExamplesB', '♭', '4', 'or', 'A42.25,2.12', 'ft', '(', '69,65cm)piccolo', 'trumpetE', '♭', '43.125', 'ft', '(', '95.3cm)soprano', 'cornet', ',', 'soprano', 'trumpetB', '♭', '34.5', 'ft', '(', '1.4m)trumpet', ',', 'cornet', ',', 'flugelhorn', ',', 'soprano', 'tromboneE', '♭', '36.75', 'ft', '(', '2.06m)alto', 'horn', ',', 'alto', 'trombone', ',', 'alto', 'trumpetB', '♭', '29', 'ft', '(', '2.7m)tenor', 'and', 'bass', 'trombone', ',', 'baritone', 'horn', ',', 'euphonium', ',', 'B', '♭', 'horn', ',', 'bass', 'trumpetF212', 'ft', '(', '3.7m)French', 'hornE', '♭', '2', 'or', 'F213.5,12', 'ft', '(', '4.1,3.7m)bass', 'tubaB', '♭', '1', 'or', 'C218,16', 'ft', '(', '5.5,4.9m)contrabass', 'tuba']",-3
english,"['What', 'is', 'a', 'beta', 'particle', '?']","['Beta', 'particle']","['A', 'beta', 'particle', ',', 'also', 'called', 'beta', 'ray', 'or', 'beta', 'radiation', '(', 'symbol', 'β', ')', ',', 'is', 'a', 'high', '-', 'energy', ',', 'high', '-', 'speed', 'electron', 'or', 'positron', 'emitted', 'by', 'the', 'radioactive', 'decay', 'of', 'an', 'atomic', 'nucleus', 'during', 'the', 'process', 'of', 'beta', 'decay', '.', 'There', 'are', 'two', 'forms', 'of', 'beta', 'decay', ',', 'β−', 'decay', 'and', 'β+', 'decay', ',', 'which', 'produce', 'electrons', 'and', 'positrons', 'respectively', '.[1', ']']",-3
english,"['What', 'was', 'the', 'most', 'powerful', 'storm', 'in', 'the', '1996', '-', '97', 'South', '-', 'West', 'Indian', 'Ocean', 'cyclone', 'season', '?']","['1996–97', 'South', '-', 'West', 'Indian', 'Ocean', 'cyclone', 'season']","['The', '1996–97', 'South', '-', 'West', 'Indian', 'Ocean', 'cyclone', 'season', 'was', 'the', 'longest', 'on', 'record', ',', 'with', 'both', 'an', 'unusually', 'early', 'start', 'and', 'unusually', 'late', 'ending', '.', 'Most', 'activity', 'was', 'from', 'November', 'through', 'February', '.', 'According', 'to', 'the', 'Météo', '-', 'France', 'office', '(', 'MFR', ')', 'at', 'Réunion', ',', 'there', 'were', '21', 'tropical', 'disturbances', ',', '14', 'of', 'which', 'intensified', 'into', 'tropical', 'depressions', '.', 'There', 'were', '12named', 'storms', ',', 'beginning', 'with', 'Antoinette', 'and', 'proceeding', 'sequentially', 'until', 'Lisette', '.', 'In', 'addition', ',', 'the', 'Joint', 'Typhoon', 'Warning', 'Center', 'also', 'warned', 'on', 'storms', 'in', 'the', 'region', ',', 'which', 'identified', 'five', 'other', 'tropical', 'storms', '.', 'Five', 'of', 'the', 'storms', 'attained', 'tropical', 'cyclone', 'status', ',', 'or', 'with', '10', '–', 'minute', 'maximum', 'sustained', 'winds', 'of', 'at', 'least', '120', 'km/h', '(', '75', 'mph', ')', ';', 'of', 'these', ',', 'three', 'strengthened', 'further', 'into', 'intense', 'tropical', 'cyclones', ',', 'with', 'Daniella', 'and', 'Helinda', 'tied', 'for', 'strongest', 'storm', 'of', 'the', 'season', '.']",-3
english,"['What', 'is', 'the', 'oldest', 'surviving', 'stained', 'glass', 'window', '?']","['Medieval', 'stained', 'glass']","['Some', 'of', 'the', 'earliest', 'known', 'examples', 'of', 'colored', 'window', 'glass', ',', 'datable', 'to', 'c.', '800–820', ',', 'were', 'recovered', 'in', 'excavations', 'at', 'the', 'Abbey', 'of', 'San', 'Vicenzo', 'in', 'Volturno', ',', 'Italy', '.[3', ']', 'Glass', 'of', 'the', 'same', 'colour', 'ranges', 'and', 'similar', 'date', 'is', 'also', 'found', 'in', 'England', ',', 'at', 'the', 'monastic', 'sites', 'of', 'Jarrow', 'and', 'Monkwearmouth', ',', 'and', 'at', 'other', 'sites', 'in', 'the', 'north', 'of', 'England', '.[4][5', ']', 'These', 'examples', 'are', 'not', 'painted', '.', 'However', ',', 'it', 'was', 'not', 'until', 'the', 'advent', 'of', 'the', 'monumental', 'cathedral', 'and', 'church', 'building', 'campaigns', 'in', 'the', '11th', 'and', '12th', 'centuries', 'that', 'the', 'demand', 'for', 'colored', 'glass', 'began', 'to', 'increase', 'significantly', ',', 'reaching', 'its', 'highest', 'level', 'in', 'the', '14th', 'and', '15th', 'centuries', '.', 'The', 'oldest', 'surviving', 'stained', 'glass', 'windows', 'still', 'in', 'situ', 'are', 'thought', 'to', 'be', 'the', 'Prophet', 'Windows', 'in', 'Augsburg', 'Cathedral', ',', 'of', 'c.', '1065', '.']",-3
english,"['What', 'is', 'the', 'purpose', 'of', 'the', 'Royal', 'Air', 'Force', '?']","['Royal', 'Air', 'Force']","['The', 'RAF', ""'s"", 'mission', 'is', 'to', 'support', 'the', 'objectives', 'of', 'the', 'British', 'Ministry', 'of', 'Defence', '(', 'MoD', ')', ',', 'which', 'are', 'to', '""', 'provide', 'the', 'capabilities', 'needed', ':', 'to', 'ensure', 'the', 'security', 'and', 'defence', 'of', 'the', 'United', 'Kingdom', 'and', 'overseas', 'territories', ',', 'including', 'against', 'terrorism', ';', 'to', 'support', 'the', 'Government', '’s', 'foreign', 'policy', 'objectives', 'particularly', 'in', 'promoting', 'international', 'peace', 'and', 'security""', '.[3', ']', 'The', 'RAF', 'describes', 'its', 'mission', 'statement', 'as', '""', '...', '[', 'to', 'provide', ']', 'An', 'agile', ',', 'adaptable', 'and', 'capable', 'Air', 'Force', 'that', ',', 'person', 'for', 'person', ',', 'is', 'second', 'to', 'none', ',', 'and', 'that', 'makes', 'a', 'decisive', 'air', 'power', 'contribution', 'in', 'support', 'of', 'the', 'UK', 'Defence', 'Mission""', '.[8', ']', 'The', 'mission', 'statement', 'is', 'supported', 'by', 'the', 'RAF', ""'s"", 'definition', 'of', 'air', 'power', ',', 'which', 'guides', 'its', 'strategy', '.', 'Air', 'power', 'is', 'defined', 'as', '""', 'the', 'ability', 'to', 'project', 'power', 'from', 'the', 'air', 'and', 'space', 'to', 'influence', 'the', 'behaviour', 'of', 'people', 'or', 'the', 'course', 'of', 'events""', '.[9', ']']",-3
english,"['What', 'is', 'the', 'main', 'religion', 'in', 'Australia', '?']","['Religion', 'in', 'Australia']","['Religion', 'in', 'Australia', 'is', 'diverse', '.', 'Section', '116', 'of', 'the', 'Constitution', 'of', 'Australia', 'of', '1901', 'prohibits', 'the', 'Commonwealth', 'government', 'from', 'establishing', 'a', 'church', 'or', 'interfering', 'with', 'the', 'freedom', 'of', 'religion', '.[note', '1', ']', 'In', 'an', 'optional', 'question', 'on', 'the', '2016', 'Census', ',', '52.2', '%', 'of', 'the', 'Australian', 'population', 'declared', 'some', 'variety', 'of', 'Christianity', '.', 'Historically', 'the', 'percentage', 'was', 'far', 'higher', ';', 'now', ',', 'the', 'religious', 'landscape', 'of', 'Australia', 'is', 'changing', 'and', 'diversifying', '.[1', ']', 'In', '2016', ',', '30.1', '%', 'of', 'Australians', 'stated', '""', 'no', 'religion', '""', 'and', 'a', 'further', '9.6', '%', 'chose', 'not', 'to', 'answer', 'the', 'question', '.[1', ']', 'Other', 'faiths', 'include', 'Muslims', '(', '2.6', '%', ')', ',', 'Buddhists', '(', '2.4', '%', ')', ',', 'Hindus', '(', '1.9', '%', ')', ',', 'Sikhs', '(', '0.5', '%', ')', ',', 'and', 'Jews', '(', '0.4%)', '.[1]As', 'per', 'the', '2016', 'Census', ',', 'Sikhism', 'is', 'the', 'fastest', 'growing', 'religion', 'in', 'Australia', 'which', 'showed', 'a', '74', '%', 'increase', 'from', 'the', '2011', 'census', 'followed', 'by', 'Hinduism(60', '%', 'increase', ')', 'and', 'Irreligion(48', '%', 'increase)', '.[3', ']']",-3
